Year,Game,Genre,Publisher,Original platform(s)[a],Ref.
1994,Donkey Kong Country,Platform,Nintendo,Super NES,[CQ]
1994,Doom II,First-person shooter,GT Interactive,PC,[CR]
1994,EarthBound,Role-playing,Nintendo,Super NES,[CS]
1994,Final Fantasy VI,Role-playing,Square,Super NES,[CT]
1994,Sega Rally Championship,Racing,Sega,Arcade,[CU]
1994,Sensible World of Soccer,Sports,Renegade Software,Amiga,[CV]
1994,Star Wars: TIE Fighter,Space flight simulator,LucasArts,PC,[CW]
1994,Super Metroid,Action-adventure,Nintendo,Super NES,[CX]
1994,Tempest 2000,Shoot 'em up,Atari Corporation,Atari Jaguar,[CY]
1994,Theme Park,Business simulation,Electronic Arts,"Amiga, PC",[CZ]
1994,Virtua Fighter 2,Fighting,Sega,Arcade,[DA]
1994,X-COM: UFO Defense,Turn-based strategy,MicroProse,PC,[DB]
1995,Chrono Trigger,Role-playing,Square,Super NES,[DC]
1995,Command & Conquer,Real-time strategy,Virgin Interactive,PC,[DD]
1995,MechWarrior 2: 31st Century Combat,Vehicle simulation,Activision,PC,[DE]
1995,Warcraft II: Tides of Darkness,Real-time strategy,Blizzard Entertainment,PC,[DF]
1995,Wipeout,Racing,Psygnosis,"PC, PlayStation",[DG]
1995,Worms,Artillery,Ocean Software,Amiga,[DH]
1995,Yoshi's Island,Platform,Nintendo,Super NES,[DI]
1996,Civilization II,Turn-based strategy,MicroProse,PC,[DJ]
1996,Command & Conquer: Red Alert,Real-time strategy,Virgin Interactive,PC,[DK]
1996,Duke Nukem 3D,First-person shooter,GT Interactive,PC,[DL]
1996,Mario Kart 64,Kart racing,Nintendo,Nintendo 64,[DM]
1996,Nights into Dreams,Action,Sega,Saturn,[DN]
1996,PaRappa the Rapper,Rhythm,Sony Computer Entertainment,PlayStation,[DO]
1996,Pokémon Red and Blue,Role-playing,Nintendo,Game Boy,[DP]
1996,Quake,First-person shooter,GT Interactive,PC,[DQ]
1996,Resident Evil,Survival horror,Capcom,PlayStation,[DR]
1996,Super Mario 64,Platform,Nintendo,Nintendo 64,[DS]
1996,Tomb Raider,Action-adventure,Eidos Interactive,"Saturn, PC, PlayStation",[DT]
1996,Wave Race 64,Racing,Nintendo,Nintendo 64,[DU]
1996,Wipeout 2097,Racing,Psygnosis,PlayStation,[DV]
1997,Age of Empires,Real-time strategy,Microsoft,PC,[DW]
1997,Castlevania: Symphony of the Night,Action-adventure,Konami,PlayStation,[DX]
1997,Diablo,Action role-playing,Blizzard Entertainment,PC,[DY]
1997,Fallout,Role-playing,Interplay Entertainment,PC,[DZ]
1997,Final Fantasy Tactics,Tactical role-playing,Square,PlayStation,[EA]
1997,Final Fantasy VII,Role-playing,Square,PlayStation,[EB]
1997,GoldenEye 007,First-person shooter,Nintendo,Nintendo 64,[EC]
1997,Gran Turismo,Racing,Sony Computer Entertainment,PlayStation,[ED]
1997,Grand Theft Auto,Action-adventure,BMG Interactive,PC,[EE]
1997,Quake II,First-person shooter,Activision,PC,[EF]
1997,Star Fox 64,Rail shooter,Nintendo,Nintendo 64,[EG]
1997,Star Wars Jedi Knight: Dark Forces II,First-person shooter,LucasArts,PC,[EH]
1997,Tekken 3,Fighting,Namco,Arcade,[EI]
1997,Total Annihilation,Real-time strategy,Cavedog Entertainment,"PC, Mac",[EJ]
1997,Ultima Online,MMORPG,Electronic Arts,"PC, Linux",[EK]
1998,Baldur's Gate,Role-playing,Black Isle Studios,PC,[EL]
1998,Crash Bandicoot: Warped,Platform,Sony Computer Entertainment,PlayStation,[EM]
1998,Dance Dance Revolution,Rhythm,Konami,Arcade,[EN]
1998,Fallout 2,Role-playing,Interplay Entertainment,PC,[EO]
1998,Grim Fandango,Adventure,LucasArts,PC,[EP]
1998,Half-Life,First-person shooter,Sierra Studios,PC,[EQ]
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo,Nintendo 64,[ER]
1998,Metal Gear Solid,Stealth,Konami,PlayStation,[ES]
1998,Panzer Dragoon Saga,Role-playing,Sega,Saturn,[ET]
1998,Resident Evil 2,Survival horror,Capcom,PlayStation,[EU]
1998,Soulcalibur,Fighting,Namco,Arcade,[EV]
1998,StarCraft,Real-time strategy,Blizzard Entertainment,PC,[EW]
1998,Suikoden II,Role-playing,Konami,PlayStation,[EX]
1998,Thief: The Dark Project,Stealth,Eidos Interactive,PC,[EY]
1999,Age of Empires II,Real-time strategy,Microsoft,PC,[EZ]
1999,EverQuest,MMORPG,Sony Online Entertainment,PC,[FA]
1999,Homeworld,Real-time strategy,Sierra Studios,PC,[FB]
1999,Planescape: Torment,Role-playing,Interplay Entertainment,PC,[FC]
1999,Pokémon Gold and Silver,Role-playing,Nintendo,Game Boy Color,[FD]
1999,Quake III: Arena,First-person shooter,Activision,PC,[FE]
1999,Shenmue,Action-adventure,Sega,Dreamcast,[FF]
1999,Silent Hill,Survival horror,Konami,PlayStation,[FG]
1999,System Shock 2,Action role-playing,Electronic Arts,PC,[FH]
1999,Unreal Tournament,First-person shooter,GT Interactive,PC,[FI]
2000,Baldur's Gate II: Shadows of Amn,Role-playing,Black Isle Studios,PC,[FJ]
2000,Counter-Strike,First-person shooter,Valve,PC,[FK]
2000,Deus Ex,Action role-playing,Eidos Interactive,PC,[FL]
2000,Diablo II,Action role-playing,Blizzard Entertainment,PC,[FM]
2000,Jet Set Radio,Action,Sega,Dreamcast,[FN]
2000,The Legend of Zelda: Majora's Mask,Action-adventure,Nintendo,Nintendo 64,[FO]
2000,Perfect Dark,First-person shooter,Rare,Nintendo 64,[FP]
2000,Marvel vs. Capcom 2: New Age of Heroes,Fighting,Capcom,Arcade,[FQ]
2000,The Sims,Life simulation,Electronic Arts,PC,[FR]
2000,Thief II: The Metal Age,Stealth,Eidos Interactive,PC,[FS]
2000,Tony Hawk's Pro Skater 2,Sports,Activision,PlayStation,[FT]
2000,Vagrant Story,Action role-playing,Square,PlayStation,[FU]
2001,Advance Wars,Turn-based strategy,Nintendo,Game Boy Advance,[FV]
2001,Animal Crossing,Life simulation,Nintendo,GameCube,[FW]
2001,Devil May Cry,Action-adventure,Capcom,PS2,[FX]
2001,Final Fantasy X,Role-playing,Square,PS2,[FY]
2001,Gran Turismo 3: A-Spec,Racing,Sony Computer Entertainment,PS2,[FZ]
2001,Grand Theft Auto III,Action-adventure,Rockstar Games,PS2,[GA]
2001,Halo: Combat Evolved,First-person shooter,Microsoft Game Studios,Xbox,[GB]
2001,Ico,Action-adventure,Sony Computer Entertainment,PS2,[GC]
2001,Ikaruga,Shoot 'em up,Treasure,Arcade,[GD]
2001,Max Payne,Third-person shooter,Gathering of Developers,PC,[GE]
2001,Metal Gear Solid 2: Sons of Liberty,Stealth,Konami,PS2,[GF]
2001,Phoenix Wright: Ace Attorney,Adventure,Capcom,Game Boy Advance,[GG]
